,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
1200,Samsung,Galaxy Note 9 Dual SIM,8801643519506,8 GB,512 GB,2,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote9DualSIM/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-note9-512gb-sm-n960z-niebieski.bhtml#afterSearch-8801643519506||||product
1201,Samsung,Galaxy Note 9 Dual SIM,8801643519452,8 GB,512 GB,2,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote9DualSIM/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-note9-512gb-sm-n960f-fioletowy.bhtml#afterSearch-8801643519452||||product
1202,Samsung,Galaxy Note 9 Dual SIM,8801643632175,null,null,null,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote9DualSIM/,null
1203,Meizu,16,6937520050281,null,null,null,null,https://www.mgsm.pl/pl/katalog/Meizu/16/,null
1204,Meizu,16,6937520050434,8 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Meizu/16/,https://www.euro.com.pl/telefony-komorkowe/meizu-16th-8-128gb-niebieski.bhtml#afterSearch-6937520050434||||product
1205,Doogee,X70,5901801903888,null,null,null,null,https://www.mgsm.pl/pl/katalog/Doogee/X70/,null
1206,Doogee,X70,5901801903864,null,null,null,null,https://www.mgsm.pl/pl/katalog/Doogee/X70/,null
1207,TP-Link,Neffos C7A,6935364084561,null,null,null,null,https://www.mgsm.pl/pl/katalog/TP-Link/NeffosC7A/,null
1208,TP-Link,Neffos C9,6935364085759,null,null,null,null,https://www.mgsm.pl/pl/katalog/TP-Link/NeffosC9/,null
1209,TP-Link,Neffos C9,6935364085766,null,null,null,null,https://www.mgsm.pl/pl/katalog/TP-Link/NeffosC9/,null
1210,Huawei,Mate 20 Lite,6901443252534,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/Mate20Lite/,https://www.euro.com.pl/telefony-komorkowe/huawei-mate-20-lite-czarny.bhtml#afterSearch-6901443252534||||product
1211,Huawei,Mate 20 Lite,6901443252541,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/Mate20Lite/,https://www.euro.com.pl/telefony-komorkowe/huawei-mate-20-lite-niebieski.bhtml#afterSearch-6901443252541||||product
1212,Huawei,Mate 20 Lite,6901443252558,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/Mate20Lite/,https://www.euro.com.pl/telefony-komorkowe/huawei-mate-20-lite-zloty.bhtml#afterSearch-6901443252558||||product
1213,Huawei,Mate 20 Lite,6901443319480,null,null,null,null,https://www.mgsm.pl/pl/katalog/Huawei/Mate20Lite/,null
1214,Huawei,Mate 20 Lite,6901443333905,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/Mate20Lite/,https://www.euro.com.pl/telefony-komorkowe/huawei-mate-20-lite-niebieski.bhtml#afterSearch-6901443333905||||product
1215,Xiaomi,Pocophone F1,6941059607779,6 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocophoneF1/,https://www.euro.com.pl/telefony-komorkowe/pocophone-f1-6-64-gb-grafitowy.bhtml#afterSearch-6941059607779||||product
1216,Xiaomi,Pocophone F1,6941059607786,6 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocophoneF1/,https://www.euro.com.pl/telefony-komorkowe/pocophone-f1-6-64-gb-niebieski.bhtml#afterSearch-6941059607786||||product
1217,Xiaomi,Pocophone F1,6941059607861,6 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocophoneF1/,https://www.euro.com.pl/telefony-komorkowe/pocophone-f1-6-128-gb-grafitowy.bhtml#afterSearch-6941059607861||||product
1218,Xiaomi,Pocophone F1,6941059607878,6 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocophoneF1/,https://www.euro.com.pl/telefony-komorkowe/pocophone-f1-6-128-gb-niebieski.bhtml#afterSearch-6941059607878||||product
1219,Xiaomi,Pocophone F1,6941059609940,null,null,null,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocophoneF1/,null
1220,myPhone,Halo S+,5902983603139,poniżej 512 MB,null,1,null,https://www.mgsm.pl/pl/katalog/myPhone/HaloS+/,https://www.euro.com.pl/telefony-komorkowe/myphone-telefon-kom-halo-s-niebieski-myphone.bhtml#afterSearch-5902983603139||||product
1221,myPhone,Fun 6 Lite,5902983603641,poniżej 512 MB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/myPhone/Fun6Lite/,https://www.euro.com.pl/telefony-komorkowe/myphone-fun-6-lite-szary.bhtml#afterSearch-5902983603641||||product
1222,myPhone,Fun 6 Lite,5902983604778,poniżej 512 MB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/myPhone/Fun6Lite/,https://www.euro.com.pl/telefony-komorkowe/myphone-fun-6-lite-czarny.bhtml#afterSearch-5902983604778||||product
1223,MaxCom,Classic MM134,5908235974439,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/MaxCom/ClassicMM134/,https://www.euro.com.pl/telefony-komorkowe/maxcom-classic-mm134.bhtml#afterSearch-5908235974439||||product
1224,MaxCom,Classic MM135,5908235974446,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/MaxCom/ClassicMM135/,https://www.euro.com.pl/telefony-komorkowe/maxcom-classic-mm135-czarno-niebieski.bhtml#afterSearch-5908235974446||||product
1225,Doogee,S70,5901801903666,6 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Doogee/S70/,https://www.euro.com.pl/telefony-komorkowe/doogee-smartfon-s70-red.bhtml#afterSearch-5901801903666||||product
1226,Doogee,S70,5901801903642,6 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Doogee/S70/,https://www.euro.com.pl/telefony-komorkowe/doogee-smartfon-s70-black.bhtml#afterSearch-5901801903642||||product
1227,Doogee,S70,5901801903659,null,null,null,null,https://www.mgsm.pl/pl/katalog/Doogee/S70/,null
1228,Honor,8X,6901443260461,4 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Honor/8X/,https://www.euro.com.pl/telefony-komorkowe/honor-8x-128gb-czerwony.bhtml#afterSearch-6901443260461||||product
1229,Honor,8X,6901443260416,null,null,null,null,https://www.mgsm.pl/pl/katalog/Honor/8X/,null
1230,Honor,8X,6901443260423,null,null,null,null,https://www.mgsm.pl/pl/katalog/Honor/8X/,null
1231,Xiaomi,Poco F1,6941059607779,6 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocoF1/,https://www.euro.com.pl/telefony-komorkowe/pocophone-f1-6-64-gb-grafitowy.bhtml#afterSearch-6941059607779||||product
1232,Xiaomi,Poco F1,6941059607786,6 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocoF1/,https://www.euro.com.pl/telefony-komorkowe/pocophone-f1-6-64-gb-niebieski.bhtml#afterSearch-6941059607786||||product
1233,Xiaomi,Poco F1,6941059607861,6 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocoF1/,https://www.euro.com.pl/telefony-komorkowe/pocophone-f1-6-128-gb-grafitowy.bhtml#afterSearch-6941059607861||||product
